,OTV Orani,Faiz,EUR/TL,Kredi Stok
2022-06-01,65.1891891891892,24.004537922206996,16.963036357901785,4931165.534142886
2022-07-01,65.37837837837839,24.004537922206996,17.36909817591375,5012659.426260973
2022-08-01,65.56756756756758,24.004537922206996,17.77818545403589,5102468.751731805
2022-09-01,65.75675675675677,24.004537922206996,18.19029819226821,5197153.455783783
2022-10-01,65.94594594594597,24.004537922206996,18.605436390610706,5294428.778524878
2022-11-01,66.13513513513516,24.004537922206996,19.02360004906338,5392864.861251406
2022-12-01,66.32432432432435,24.004537922206996,19.444789167626233,5491629.169783193
2023-01-01,66.51351351351354,24.004537922206996,19.869003746299263,5590283.994771457
2023-02-01,66.70270270270274,24.004537922206996,20.296243785082474,5688637.368951786
2023-03-01,66.89189189189193,24.004537922206996,20.726509283975858,5786639.389917861
2023-04-01,67.08108108108112,24.004537922206996,21.159800242979422,5884314.020430201
2023-05-01,67.27027027027032,24.004537922206996,21.596116662093166,5981716.876099322
2023-06-01,67.45945945945951,24.004537922206996,22.035458541317087,6078911.001116884
